filename,sen_id,goku,leftpos,rightpos,type
PN3k_00004.xml,20,,9,34,削除(助詞)
PN3k_00004.xml,20,を,10,34,挿入(助詞)
PN3k_00004.xml,20,を,9,34,置換(助詞)
PN3k_00004.xml,20,全,36,7,語彙選択
PN3k_00004.xml,20,s,42,1,表記
PN3k_00004.xml,20,う,40,3,動詞
PN3k_00004.xml,20,,33,10,削除(助詞・動詞以外)
PN3k_00004.xml,20,う,12,32,挿入(助詞・動詞以外)
PN4m_00005.xml,24,,15,8,削除(助詞)
PN4m_00005.xml,24,を,15,9,挿入(助詞)
PN4m_00005.xml,24,を,15,8,置換(助詞)
PN4m_00005.xml,24,簡素,16,6,語彙選択
PN4m_00005.xml,24,策,13,9,表記
PN4m_00005.xml,24,,21,2,動詞
PN4m_00005.xml,24,,2,21,削除(助詞・動詞以外)
PN4m_00005.xml,24,n,5,19,挿入(助詞・動詞以外)
PN5m_00010.xml,75,,24,3,削除(助詞)
PN5m_00010.xml,75,を,24,4,挿入(助詞)
PN5m_00010.xml,75,と,24,3,置換(助詞)
PN5m_00010.xml,75,代償,21,5,語彙選択
PN5m_00010.xml,75,,8,19,表記
PN5m_00010.xml,75,わ,19,9,動詞
PN5m_00010.xml,75,,1,26,削除(助詞・動詞以外)
PN5m_00010.xml,75,に,3,25,挿入(助詞・動詞以外)
PN5f_00012.xml,6,,10,26,削除(助詞)
PN5f_00012.xml,6,の,10,27,挿入(助詞)
PN5f_00012.xml,6,に,10,26,置換(助詞)
PN5f_00012.xml,6,ムキムキ,0,35,語彙選択
PN5f_00012.xml,6,対角,0,35,表記
PN5f_00012.xml,6,あ,36,1,動詞
PN5f_00012.xml,6,,25,11,削除(助詞・動詞以外)
PN5f_00012.xml,6,行,24,13,挿入(助詞・動詞以外)
PN2f_00006.xml,13,,16,10,削除(助詞)
PN2f_00006.xml,13,に,17,10,挿入(助詞)
PN2f_00006.xml,13,を,23,3,置換(助詞)
PN2f_00006.xml,13,い,21,5,語彙選択
PN2f_00006.xml,13,銭湯,20,5,表記
PN2f_00006.xml,13,,25,1,動詞
PN2f_00006.xml,13,,9,17,削除(助詞・動詞以外)
PN2f_00006.xml,13,気,9,18,挿入(助詞・動詞以外)
PN3d_00016.xml,7,,3,40,削除(助詞)
PN3d_00016.xml,7,を,37,7,挿入(助詞)
PN3d_00016.xml,7,を,3,40,置換(助詞)
PN3d_00016.xml,7,ふわふわ,4,38,語彙選択
PN3d_00016.xml,7,r,20,23,表記
PN3d_00016.xml,7,tu,42,1,動詞
PN3d_00016.xml,7,,17,26,削除(助詞・動詞以外)
PN3d_00016.xml,7,ご,0,7,挿入(助詞・動詞以外)
PN4e_00011.xml,20,,15,4,削除(助詞)
PN4e_00011.xml,20,が,16,4,挿入(助詞)
PN4e_00011.xml,20,が,2,17,置換(助詞)
PN4e_00011.xml,20,おこづかい,13,5,語彙選択
PN4e_00011.xml,20,dan,10,9,表記
PN4e_00011.xml,20,られ,11,9,動詞
PN4e_00011.xml,20,,1,18,削除(助詞・動詞以外)
PN4e_00011.xml,20,お,3,17,挿入(助詞・動詞以外)
